MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:59:300,-120.79,-80.11,305.52,0.26,0.37
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:59:400,30.05,70.92,-113.53,0.56,0.22
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:59:500,-6.76,-13.88,30.4,0.43,0.2
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:59:600,-15.17,-23.12,64.62,0.34,0.22

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:03:700,0.48,-4.5,19.9,0.22,-0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:03:800,1.32,-6.76,26.71,0.25,-0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:03:900,-12.15,17.43,-82.15,0.21,-0.14
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:000,6.58,-16.63,72.28,0.23,-0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:100,6.14,12.42,-61.7,0.2,0.1
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:200,-0.33,-1.1,4.28,0.25,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:300,-1.98,-7.81,26.69,0.28,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:400,0.45,1.11,-3.82,0.28,0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:500,-4.34,-15.92,51.93,0.3,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:600,3.56,14.4,-53.07,0.27,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:700,29.86,33.85,-153.27,0.22,0.19
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:800,-669.29,-19.12,834.15,0.02,0.68
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:04:900,-1056.64,59.81,1928.35,-0.03,0.5
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:05:000,-38.99,94.61,-349.77,0.26,-0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:05:100,438.3,-177.92,261.79,0.6,-0.95
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:05:200,434.74,326.35,-0.0,1.57,0.93
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:05:300,-63.2,-55.37,422.23,0.13,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:05:400,30.26,71.37,-208.1,0.33,0.14
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:05:500,7.56,9.78,-34.07,0.28,0.21
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:05:600,-12.0,-16.63,62.64,0.26,0.18

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:09:500,-0.04,-0.06,0.19,0.28,0.2
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:09:600,10.65,18.63,-47.15,0.38,0.21
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:09:700,-4.79,-6.21,18.59,0.32,0.24
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:09:800,8.63,10.27,-36.95,0.27,0.22
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:09:900,-12.21,-24.81,79.06,0.3,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:000,10.77,17.99,-61.47,0.28,0.17
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:100,-4.47,-12.26,39.49,0.3,0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:200,-7.54,-12.97,46.77,0.27,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:300,31.36,31.51,-126.19,0.24,0.24
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:400,87.5,33.36,-220.32,0.15,0.37
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:500,19.22,-1.76,-28.82,-0.06,0.59
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:600,-1428.2,68.51,1830.87,-0.04,0.66
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:700,-671.9,-79.33,648.19,0.12,0.8
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:800,588.52,-120.65,202.12,0.54,-1.19
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:10:900,-315.94,134.82,-148.71,-2.41,1.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:11:000,178.29,-84.04,240.97,0.34,-0.61
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:11:100,8.62,10.89,-26.79,0.39,0.29
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:11:200,3.57,3.61,-10.33,0.34,0.32
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:11:300,-4.45,-4.5,11.97,0.36,0.33
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:11:400,9.95,11.2,-29.11,0.37,0.31

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:15:300,0.32,0.91,-3.91,0.23,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:15:400,0.92,2.64,-11.22,0.23,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:15:500,-0.04,-0.1,0.41,0.23,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:15:600,0.23,0.71,-3.05,0.23,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:15:700,1.13,3.04,-13.26,0.23,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:15:800,0.95,2.67,-11.37,0.23,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:15:900,0.73,1.93,-8.46,0.22,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:000,1.34,3.66,-15.37,0.23,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:100,8.27,10.2,-49.22,0.2,0.16
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:200,25.31,17.82,-101.58,0.17,0.24
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:300,47.85,26.26,-136.81,0.19,0.33
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:400,-496.71,-34.82,683.67,0.05,0.63
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:500,-1592.04,223.09,2078.05,-0.11,0.65
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:600,5.2,-15.08,38.88,0.37,-0.12
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:700,1066.96,-395.13,490.87,0.68,-1.04
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:800,-143.23,44.22,-66.34,-2.55,1.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:16:900,-60.53,32.26,-114.15,0.28,-0.47
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:17:000,-45.04,-27.43,180.94,0.15,0.24
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:17:100,-29.26,-28.78,97.02,0.29,0.28
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:17:200,-21.69,-33.27,86.76,0.37,0.23

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:20:900,-0.48,5.81,-41.11,0.14,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:000,0.85,2.08,-12.74,0.16,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:100,-0.68,-1.0,6.12,0.16,0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:200,0.32,0.53,-3.76,0.14,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:300,1.92,2.74,-19.33,0.14,0.1
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:400,-1.12,-1.8,10.56,0.17,0.1
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:500,-0.81,-1.43,8.62,0.16,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:600,1.08,2.02,-12.44,0.16,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:700,-0.6,-1.29,8.09,0.16,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:800,6.99,5.59,-40.87,0.14,0.17
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:21:900,15.96,8.74,-68.25,0.13,0.23
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:000,27.24,2.56,-64.41,0.04,0.4
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:100,-1101.43,266.98,1182.15,-0.22,0.74
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:200,-863.74,94.99,1146.93,-0.08,0.64
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:300,1202.65,-223.73,1301.37,0.17,-0.74
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:400,-19.6,128.52,5.98,1.62,-0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:500,-578.93,67.12,16.78,1.82,-1.45
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:600,-499.71,-156.57,1331.4,0.12,0.36
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:700,41.48,52.36,-131.34,0.38,0.29
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:22:800,-12.15,-9.68,57.55,0.17,0.21

CC:7B:5C:AF:BD:F4,2025:02:27 14:08:29:800,-6.14,-13.33,130.29,0.1,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:29:900,1.78,3.39,-74.69,0.05,0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:000,2.17,5.39,-41.22,0.13,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:100,23.13,6.9,-92.83,0.07,0.24
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:200,-4.06,-1.03,11.04,0.09,0.35
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:300,15.73,1.4,-50.6,0.03,0.3
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:400,-11.8,-11.14,77.98,0.14,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:500,-1.21,-2.66,13.29,0.2,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:600,-3.38,-7.96,43.89,0.18,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:800,1.36,0.02,-2.48,0.01,0.5
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:30:900,-332.37,116.06,436.57,-0.26,0.63
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:000,-781.43,200.62,765.63,-0.26,0.78
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:100,-304.04,-4.34,575.75,0.01,0.49
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:200,596.61,27.14,685.17,-0.04,-0.72
CC:7B:5C:AF:BD:F4,2025:02:27 14:08:31:300,-322.77,435.08,-5.91,1.56,-0.64
